CustomerID  NumberOfSales
----------- -------------
11091       28
11176       28
11185       27
11200       27
11223       27
11262       27
11276       27
11277       27
11287       27
11300       27
11330       27
11331       27
11711       27
11566       25
11211       17
11212       17
11203       17
11215       17
11078       17
11142       17
11019       17
11253       16
11619       16
11631       16
11632       16
11500       16
11501       16
11502       16
11505       16
11506       16
11507       16
11519       16
11520       16
11530       16
11498       16
29486       12
29489       12
29497       12
29509       12
29521       12
29522       12
29523       12
29533       12
29539       12
29570       12
29571       12
29577       12
29580       12
29592       12
29614       12
29617       12
29620       12
29637       12
29639       12
29646       12
29651       12
29675       12
29685       12
29690       12
29698       12
29702       12
29705       12
29714       12
29715       12
29716       12
29721       12
29722       12
29724       12
29734       12
29731       12
29757       12
29761       12
29789       12
29803       12
29810       12
29811       12
29818       12
29825       12
29827       12
29834       12
29844       12
29846       12
29865       12
29880       12
29888       12
29897       12
29901       12
29938       12
29950       12
29955       12
29963       12
29966       12
29992       12
29994       12
30067       12
30076       12
30095       12
30107       12
30117       12
30042       11
30011       11
30022       11
29982       11
29968       11
29945       11
29669       11
29531       11
29511       11
29487       11
29508       10
29622       10
29606       10
29588       10
29569       10
29842       10
29830       10
29961       10
29958       9
29915       9
29892       9
30096       9
29824       9
29747       9
29581       9
29558       9
29642       9
29494       9
29498       8
29499       8
29507       8
29515       8
29528       8
29535       8
29540       8
29520       8
29543       8
29544       8
29647       8
29649       8
29654       8
29627       8
29635       8
29677       8
29678       8
29658       8
29696       8
29692       8
29680       8
29682       8
29683       8
29684       8
29559       8
29560       8
29546       8
29562       8
29549       8
29554       8
29576       8
29574       8
29565       8
29568       8
29586       8
29587       8
29579       8
29593       8
29598       8
29601       8
29604       8
29605       8
29618       8
29616       8
29753       8
29732       8
29740       8
29744       8
29745       8
29746       8
29770       8
29772       8
29764       8
29712       8
29718       8
29707       8
29709       8
29703       8
29704       8
29689       8
29701       8
29809       8
29828       8
29815       8
29816       8
29822       8
29837       8
29812       8
29805       8
29795       8
29797       8
29798       8
29786       8
29792       8
29775       8
29778       8
29780       8
29781       8
29783       8
29784       8
30103       8
30105       8
30106       8
30112       8
30113       8
30114       8
30115       8
30074       8
30075       8
30084       8
30085       8
30091       8
30118       8
30109       8
30094       8
30018       8
30019       8
30029       8
30030       8
30007       8
30009       8
30000       8
30043       8
30026       8
30037       8
30039       8
30046       8
30048       8
30049       8
30050       8
30065       8
30055       8
30058       8
30060       8
29885       8
29889       8
29890       8
29891       8
29895       8
29896       8
29913       8
29904       8
29909       8
29910       8
29873       8
29879       8
29869       8
29853       8
29856       8
29959       8
29956       8
29957       8
29946       8
29947       8
29935       8
29949       8
29929       8
29919       8
29920       8
29924       8
29962       8
29975       8
29983       8
29985       8
29986       8
29988       8
29996       8
29997       8
29981       8
29973       7
29925       7
29927       7
29903       7
29951       7
29867       7
29864       7
30047       7
29991       7
30004       7
30012       7
30023       7
29788       7
29838       7
29835       7
29849       7
29826       7
29717       7
29719       7
29619       7
29610       7
29590       7
29584       7
29626       7
29691       7
29659       7
29679       7
29676       7
29633       7
29644       7
29500       7
29503       7
29484       7
11417       7
11420       7
11241       7
11242       7
11425       6
11429       6
11432       6
11433       6
11439       6
29492       6
29640       6
29630       6
29672       6
29661       6
29599       6
29711       6
29730       6
29756       6
29847       6
29845       6
29787       6
30064       6
29875       6
29872       6
29866       6
29971       6
29969       6
29990       6
29974       5
29952       5
29930       5
29857       5
29851       5
29883       5
29902       5
30008       5
29999       5
30057       5
29800       5
29819       5
29750       5
29583       5
29555       5
29688       5
29681       5
29541       5
29518       5
11510       5
11640       5
11641       5
11642       5
11581       5
11131       5
11712       5
11698       5
11651       5
11652       5
11659       5
11660       5
11661       5
11677       5
11709       5
11719       5
11723       5
11724       5
11748       5
11740       5
11769       5
11784       5
11808       5
11802       5
11738       5
11820       5
11823       5
11824       5
11827       5
11833       5
11841       5
11861       5
11875       5
11868       5
11869       5
11922       5
12054       5
12124       5
12131       5
12132       5
12296       5
12300       5
12301       5
12307       5
12308       5
12321       5
14091       5
14096       5
14265       5
14282       5
14328       5
14341       4
14332       4
14079       4
14077       4
14084       4
14185       4
14186       4
14192       4
14200       4
13920       4
13941       4
13944       4
13988       4
13579       4
13580       4
13592       4
13595       4
13605       4
13606       4
13701       4
13707       4
13708       4
13756       4
13758       4
13760       4
13762       4
13860       4
15172       4
15244       4
15251       4
15760       4
15761       4
15826       4
12323       4
12314       4
12330       4
12332       4
12333       4
12363       4
12430       4
12431       4
12444       4
12489       4
12532       4
12530       4
12295       4
12631       4
12632       4
12650       4
12657       4
12655       4
12760       4
12795       4
12880       4
12892       4
12895       4
12916       4
12919       4
12928       4
12936       4
12939       4
12944       4
12945       4
12959       4
12964       4
12969       4
12970       4
12972       4
12984       4
13071       4
13095       4
13096       4
13144       4
13175       4
13179       4
13185       4
13231       4
13239       4
13255       4
13256       4
13257       4
13258       4
13259       4
13260       4
13261       4
13263       4
13264       4
13265       4
13267       4
13268       4
13318       4
13405       4
13406       4
13474       4
13575       4
13577       4
12302       4
12297       4
12298       4
12291       4
12123       4
12165       4
12166       4
12140       4
12158       4
12159       4
12182       4
12183       4
12202       4
12203       4
12196       4
12128       4
12129       4
12130       4
12133       4
12136       4
12147       4
12125       4
12097       4
12074       4
12077       4
12106       4
12107       4
12055       4
12056       4
12061       4
11845       4
11243       4
11244       4
11245       4
11246       4
11247       4
11249       4
11250       4
11237       4
11238       4
11239       4
11240       4
11431       4
11427       4
11428       4
11421       4
11422       4
11423       4
11412       4
11413       4
11414       4
16358       4
16497       4
16667       4
29519       4
29516       4
29517       4
29524       4
29525       4
29526       4
29527       4
29510       4
29512       4
29513       4
29514       4
29542       4
29538       4
29534       4
29529       4
29530       4
29493       4
29491       4
29504       4
29496       4
29506       4
29501       4
29502       4
29485       4
29488       4
29686       4
29687       4
29693       4
29694       4
29695       4
29660       4
29663       4
29664       4
29665       4
29666       4
29667       4
29673       4
29674       4
29670       4
29671       4
29631       4
29632       4
29634       4
29636       4
29638       4
29628       4
29629       4
29624       4
29625       4
29641       4
29643       4
29645       4
29648       4
29655       4
29656       4
29650       4
29652       4
29653       4
29556       4
29557       4
29550       4
29551       4
29552       4
29553       4
29563       4
29564       4
29561       4
29548       4
29566       4
29567       4
29572       4
29582       4
29589       4
29591       4
29594       4
29595       4
29596       4
29597       4
29615       4
29613       4
29602       4
29603       4
29608       4
29609       4
29748       4
29749       4
29755       4
29742       4
29743       4
29769       4
29762       4
29773       4
29774       4
29771       4
29758       4
29759       4
29727       4
29735       4
29736       4
29737       4
29738       4
29739       4
29720       4
29713       4
29725       4
29723       4
29710       4
29708       4
29699       4
29700       4
29706       4
29820       4
29821       4
29823       4
29817       4
29829       4
29843       4
29850       4
29836       4
29833       4
29839       4
29801       4
29804       4
29799       4
29796       4
29806       4
29807       4
29813       4
29814       4
29791       4
29793       4
29794       4
29785       4
29779       4
29776       4
30063       4
30066       4
30068       4
30069       4
30070       4
30071       4
30061       4
30059       4
30056       4
30017       4
30054       4
30051       4
30052       4
30038       4
30027       4
30028       4
30044       4
30045       4
30005       4
30002       4
30003       4
30014       4
30015       4
30024       4
30020       4
30021       4
30031       4
30033       4
30034       4
30035       4
30073       4
30092       4
30093       4
30082       4
30083       4
30086       4
30087       4
30088       4
30089       4
30090       4
30116       4
30108       4
30104       4
30100       4
30101       4
30102       4
30097       4
30110       4
30111       4
29911       4
29912       4
29906       4
29907       4
29916       4
29917       4
29918       4
29887       4
29894       4
29898       4
29899       4
29881       4
29882       4
29874       4
29876       4
29877       4
29878       4
29871       4
29854       4
29868       4
29861       4
29841       4
29863       4
29931       4
29932       4
29939       4
29940       4
29941       4
29942       4
29928       4
29921       4
29922       4
29923       4
29953       4
29954       4
29960       4
29936       4
29937       4
29972       4
29976       4
29977       4
29970       4
29967       4
29964       4
29993       4
29998       4
29995       4
29989       4
29987       4
29984       4
29979       4
29980       4
29965       3
29948       3
29926       3
29943       3
29944       3
29933       3
29855       3
29858       3
29908       3
29914       3
30079       3
30080       3
30036       3
30013       3
30006       3
30053       3
30062       3
30072       3
29782       3
29808       3
29840       3
29848       3
29760       3
29765       3
29741       3
29752       3
29611       3
29612       3
29600       3
29573       3
29547       3
29657       3
29623       3
29662       3
29490       3
29495       3
29536       3
29537       3
16721       3
16717       3
16731       3
16771       3
16772       3
16800       3
16479       3
16448       3
16506       3
16565       3
16566       3
16567       3
16575       3
16580       3
16585       3
16587       3
16588       3
16589       3
16594       3
16595       3
16598       3
16603       3
16370       3
16392       3
16393       3
16309       3
16310       3
16331       3
16404       3
16424       3
16425       3
16426       3
16196       3
16199       3
16213       3
16203       3
16204       3
16205       3
16206       3
16207       3
16247       3
16261       3
16262       3
16263       3
16286       3
16297       3
16298       3
16307       3
16826       3
16827       3
16828       3
16829       3
16830       3
16831       3
16821       3
16822       3
16823       3
16824       3
16870       3
16876       3
16964       3
16950       3
17026       3
17027       3
16958       3
16959       3
16948       3
17093       3
17103       3
17114       3
17181       3
17182       3
17183       3
17184       3
17185       3
17119       3
17191       3
17192       3
17198       3
17199       3
17202       3
17203       3
17225       3
17207       3
17209       3
17214       3
17220       3
17221       3
17337       3
17338       3
17360       3
17218       3
17347       3
17348       3
17371       3
17387       3
17374       3
17442       3
17385       3
17647       3
17648       3
17651       3
17766       3
17767       3
17778       3
17779       3
17780       3
17781       3
17811       3
17833       3
17834       3
17825       3
17949       3
17964       3
17976       3
17983       3
17984       3
17985       3
17986       3
18005       3
18019       3
18125       3
18126       3
18127       3
18133       3
18134       3
18135       3
18136       3
18139       3
18140       3
18141       3
18147       3
18130       3
18158       3
18160       3
18166       3
18168       3
18173       3
18177       3
18314       3
18317       3
18320       3
18329       3
18322       3
18626       3
18749       3
18758       3
18759       3
19031       3
19032       3
19196       3
19197       3
19223       3
19224       3
19217       3
19220       3
19298       3
19311       3
19325       3
19339       3
19340       3
19364       3
19365       3
19420       3
19438       3
19439       3
19453       3
19454       3
19476       3
19640       3
19642       3
19646       3
19647       3
19648       3
19801       3
20051       3
20716       3
20722       3
20860       3
20861       3
20912       3
20923       3
20930       3
21037       3
11261       3
11416       3
11400       3
11401       3
11402       3
11403       3
11479       3
11480       3
11481       3
11482       3
11483       3
11484       3
11485       3
11443       3
11444       3
11445       3
11446       3
11447       3
11448       3
11449       3
11450       3
11451       3
11452       3
11453       3
11454       3
11455       3
11456       3
11457       3
11458       3
11459       3
11460       3
11461       3
11462       3
11463       3
11464       3
11465       3
11466       3
11467       3
11468       3
11341       3
11351       3
11353       3
11343       3
11344       3
11333       3
11334       3
11337       3
11356       3
11357       3
11358       3
11359       3
11360       3
11363       3
11364       3
11365       3
11368       3
11372       3
11381       3
11387       3
11388       3
11394       3
