ord_no      purch_amt                               ord_date   customer_id salesman_id
----------- --------------------------------------- ---------- ----------- -----------
70006       1750.25                                 2023-01-22 3006        5007
70012       2800.25                                 2023-02-10 3012        5007
70018       1450.90                                 2023-02-22 3018        5007
70024       3100.75                                 2023-03-08 3024        5007

(4 rows affected)


Completion time: 2025-01-22T14:10:00.9872365-06:00
