Month                                                                                                                                                                                                                                                            TotalSales            AverageSales
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- --------------------- ---------------------
2011-05                                                                                                                                                                                                                                                          567020.9498           13186.5337
2011-06                                                                                                                                                                                                                                                          507096.469            3596.4288
2011-07                                                                                                                                                                                                                                                          2292182.8828          9922.8696
2011-08                                                                                                                                                                                                                                                          2800576.1723          11202.3046
2011-09                                                                                                                                                                                                                                                          554791.6082           3533.7045
2011-10                                                                                                                                                                                                                                                          5156269.5291          15768.4083
2011-11                                                                                                                                                                                                                                                          815313.0152           3544.8391
2011-12                                                                                                                                                                                                                                                          1462448.8986          6414.2495
2012-01                                                                                                                                                                                                                                                          4458337.4444          13268.8614
2012-02                                                                                                                                                                                                                                                          1649051.9001          7529.9173
2012-03                                                                                                                                                                                                                                                          3336347.4716          10974.8272
2012-04                                                                                                                                                                                                                                                          1871923.5039          6958.8234
2012-05                                                                                                                                                                                                                                                          96945.489             3462.3388

(13 rows affected)


Completion time: 2025-01-22T14:25:32.4300531-06:00
