WeekNumber  TotalSales
----------- ---------------------
1           2300120.7826
2           175000.504
3           97016.233
4           176967.135
5           1813313.752
6           131211.2632
7           169843.7928
8           181489.729
9           1133499.5751
10          135783.8748
11          202241.305
12          154098.8446
13          2773150.025
14          170462.6774
15          184705.9988
16          181095.7302
17          138704.5148
18          1321156.3667
19          172729.9092
20          160244.0884
21          207137.1714
22          2838039.2708
23          128088.0698
24          130422.417
25          127432.0888
26          4175276.8696
27          136810.9339
28          130141.3345
29          142524.0279
30          133310.7719
31          3349974.6662
32          98251.6196
33          104535.7147
34          90762.4988
35          2113555.9303
36          78375.7785
37          116774.2671
38          122928.1425
39          95156.3548
40          3509332.6711
41          96435.8872
42          82401.2907
43          92097.338
44          2588326.7403
45          157001.7916
46          154046.4761
47          133948.7259
48          1614699.5421
49          108850.402
50          123810.4302
51          109281.2379
52          88177.4216
53          2724956.3276

(53 rows affected)


Completion time: 2025-01-22T14:26:25.5765847-06:00
