LastDay    SalesCount
---------- -----------
2011-05-31 43
2011-06-30 5
2011-07-31 6
2011-08-31 44
2011-09-30 2
2011-10-31 68
2011-11-30 7
2011-12-31 7
2012-01-31 9
2012-02-29 42
2012-03-31 5
2012-04-30 72
2012-05-31 3
2012-06-30 148
2012-07-31 113
2012-08-31 8
2012-09-30 139
2012-10-31 9
2012-11-30 73
2012-12-31 142
2013-01-31 6
2013-02-28 85
2013-03-31 11
2013-04-30 117
2013-05-31 14
2013-06-30 232
2013-07-31 212
2013-08-31 67
2013-09-30 230
2013-10-31 67
2013-11-30 140
2013-12-31 244
2014-01-31 52
2014-02-28 58
2014-03-31 271
2014-04-30 83
2014-05-31 37
2014-06-30 40

(38 rows affected)


Completion time: 2025-01-22T14:28:46.4733014-06:00
